generation,index,x0,x1,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo,task_error,log10_metabolic_cost,log10_wiring_cost,constraint_g,is_feasible,train_time_s
0,0,-0.7392731021,1.5226998611,0,0.18227491228121598,33.31960629184953,0.32718749999999996,0.1578125,0.02832377839833498,0.006063012303784489,0.0022126033436506987,0.00179227942135185,0.015995996072888374,0.315625,0.1578125,0.290625,0.35,0.521875,0.8421875,-2.2173115504422087,-2.6550964356452402,0.44218749999999996,False,446.70054826606065
0,1,-1.4286618988,1.5197933251,0,0.0372681728618633,33.09735780919071,0.5709375,0.378125,0.0186930244974792,0.05116400696337223,0.0024099776055663824,0.006571691017597914,0.02456737868487835,0.7875,0.378125,0.5515625,0.628125,0.509375,0.621875,-1.291035450629328,-2.617986993036805,0.221875,False,434.87924854597077
0,2,-1.114266928,0.6781943672,0,0.07686578592339026,4.766442597607552,0.9243750000000001,0.6328125,0.005703132937196642,0.019107682704925535,0.005801298189908266,0.14220282435417175,0.01811511628329754,1.0,0.9890625,1.0,1.0,0.6328125,0.3671875,-1.7187919790614958,-2.2364748109841495,-0.03281250000000002,True,435.81217226106673
0,3,-0.1469769331,0.6555615649,0,0.7128908933262363,4.524405950125044,0.421875,0.1890625,0.02875019617378712,0.0019394813873805105,0.0035788090899586678,0.04892769455909729,0.015110376290977001,0.4578125,0.1890625,0.3296875,0.6375,0.4953125,0.8109375,-2.7123143838374357,-2.446261468245615,0.41093749999999996,False,434.7189097329974
0,4,-0.66844817,0.0441513527,0,0.2145615164776003,1.1070095123694954,0.9584374999999999,0.7921875,0.004215204280335456,0.008925185920670629,0.011308583430945873,0.39321383833885193,0.014242678880691528,1.0,1.0,1.0,1.0,0.7921875,0.20781249999999996,-2.0493827283272172,-1.9465917935408434,-0.19218750000000007,True,435.2282763281837
0,5,-0.2860867628,0.8621378717,0,0.5175034354412279,7.280108831679633,0.30281250000000004,0.1328125,0.028993668891489504,0.0022502766153775157,0.00294228782877326,0.022181373089551926,0.015734387561678886,0.321875,0.1328125,0.2515625,0.3078125,0.5,0.8671875,-2.6477640929339206,-2.531314844751388,0.4671875,False,433.30593130597845
0,6,-1.0807028354,1.2631100818,0,0.08304187845058195,18.327789228470323,0.7184375000000001,0.51875,0.014231064235791565,0.02479002598673105,0.0027361770626157522,0.015333945862948895,0.018891168758273125,1.0,0.51875,0.7515625,0.7875,0.534375,0.48124999999999996,-1.6057230179724777,-2.5628558021168186,0.08124999999999993,False,436.88966391887516
0,7,-1.1304611247,0.7265308249,0,0.07405235515271887,5.327590365813788,0.921875,0.609375,0.005788367828354239,0.0197180906124413,0.005436314735561609,0.1253063678741455,0.018326954916119576,1.0,1.0,1.0,1.0,0.609375,0.390625,-1.7051351419621772,-2.264695407723058,-0.009375000000000022,True,434.47731872973964
1,0,-0.7392731021,0.7348355191,0,0.18227491228121598,5.430446245352429,0.83125,0.5421875,0.008449390446767211,0.01103761002421379,0.0043289694003760815,0.07541359961032867,0.01566571742296219,1.0,0.5421875,0.9953125,0.996875,0.621875,0.45781249999999996,-1.9571249542935802,-2.363615484017008,0.05781249999999993,False,433.6422726493329
1,1,-1.4286618988,0.0152831738,0,0.0372681728618633,1.0358173323618092,0.9662499999999999,0.83125,0.0035486807790584864,0.03026306565850973,0.015569856390357018,0.5574908256530762,0.019213519990444183,1.0,1.0,1.0,1.0,0.83125,0.16874999999999996,-1.5190870799104415,-1.8077153931584775,-0.23125000000000007,True,433.5953166051768
