point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0,0.0,0.0,0.9728125000000001,0.86875,0.003747519347816706,0.5677023071050644,0.02364581637084484,0.7263174057006836,0.03474939242005348,1.0,1.0,1.0,0.9953125,0.86875
1,1,0.0,0.0,0.9775,0.8875,0.0026376734476070847,0.7768521952629089,0.0340738520026207,0.8100030422210693,0.034258268773555756,1.0,1.0,1.0,1.0,0.8875
1,2,0.0,0.0,0.9671875,0.8390625,0.0038425137160811576,1.609087815284729,0.02952973172068596,0.7831647992134094,0.03265392780303955,1.0,1.0,1.0,0.996875,0.8390625
2,0,0.0,1.0,0.9665625,0.834375,0.00420060234842822,0.5664784824848175,0.018701352179050446,0.6497089266777039,0.035457562655210495,1.0,1.0,1.0,0.9984375,0.834375
2,1,0.0,1.0,0.971875,0.8703125,0.003601483579259366,0.8191599261760711,0.02522146888077259,0.6838235259056091,0.03450771048665047,1.0,1.0,0.996875,0.9921875,0.8703125
2,2,0.0,1.0,0.9540625,0.775,0.004304787754081189,1.4586061775684356,0.02414633519947529,0.7138174176216125,0.0335632786154747,1.0,1.0,1.0,0.9953125,0.775
3,0,0.0,4.161791450287818,0.9571875000000001,0.790625,0.004798793303780258,0.6208283096551895,0.010590254329144955,0.3842984139919281,0.036140527576208115,1.0,1.0,1.0,0.9953125,0.790625
3,1,0.0,4.161791450287818,0.9637500000000001,0.8296875,0.0038891400257125494,0.8053357148170471,0.016225123777985573,0.5117953419685364,0.03587353229522705,1.0,1.0,0.99375,0.9953125,0.8296875
3,2,0.0,4.161791450287818,0.9515625,0.7640625,0.004960857143159955,1.3366630244255067,0.015872756019234657,0.5410999059677124,0.03465273231267929,1.0,1.0,0.996875,0.996875,0.7640625
4,0,0.0,17.320508075688775,0.9034374999999999,0.521875,0.006843328140676022,1.1561188542842864,0.004160637967288494,0.07362132519483566,0.04689759016036987,1.0,1.0,1.0,0.9953125,0.521875
4,1,0.0,17.320508075688775,0.9425000000000001,0.7125,0.005570668107829988,0.7440694999694825,0.007488050498068333,0.22405023872852325,0.03756972774863243,1.0,1.0,1.0,1.0,0.7125
4,2,0.0,17.320508075688775,0.9349999999999999,0.675,0.00579256955999881,1.1700807869434358,0.006993954069912434,0.2080882340669632,0.03989307954907417,1.0,1.0,1.0,1.0,0.675
5,0,0.0,72.08434242404265,0.42781249999999993,0.321875,0.022735556550323964,0.8859979116916656,0.002197073306888342,0.0027726716361939907,0.06812300533056259,0.4859375,0.321875,0.3890625,0.446875,0.4953125
5,1,0.0,72.08434242404265,0.85,0.4953125,0.010424517933279276,1.6835492205619813,0.003812991315498948,0.04572610184550285,0.0618080198764801,1.0,0.8109375,0.9625,0.98125,0.4953125
5,2,0.0,72.08434242404265,0.774375,0.515625,0.013503490863367915,1.8481239402294158,0.0031637027859687805,0.02285539172589779,0.06651691347360611,1.0,0.75625,0.7640625,0.8359375,0.515625
6,0,0.0,300.0000000000001,0.33843750000000006,0.20625,0.02522331167012453,0.5648166102170944,0.002043645828962326,0.00013786765339318663,0.06474161148071289,0.284375,0.20625,0.3140625,0.3703125,0.5171875
6,1,0.0,300.0000000000001,0.615,0.478125,0.020667302832007413,0.5909657794237136,0.0030424348078668118,0.010064338333904743,0.062368083745241165,0.803125,0.584375,0.578125,0.63125,0.478125
6,2,0.0,300.0000000000001,0.484375,0.340625,0.02363829229027033,0.7269954758882523,0.0026105621363967657,0.0032628676854074,0.06523948162794113,0.6875,0.340625,0.4375,0.4546875,0.5015625
