point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0,0.0,0.0,0.9731250000000001,0.86875,0.003841086514294148,0.5590641117095947,0.023689931258559227,0.7262408137321472,0.03463420271873474,1.0,1.0,1.0,0.996875,0.86875
1,1,0.0,0.0,0.9724999999999999,0.8625,0.002890831931727007,0.8611234903335572,0.03396262228488922,0.8094362616539001,0.03398798033595085,1.0,1.0,1.0,1.0,0.8625
1,2,0.0,0.0,0.9650000000000001,0.828125,0.004005633569322526,1.8660547089576722,0.029532484710216522,0.7833946347236633,0.03286699205636978,1.0,1.0,0.9984375,0.9984375,0.828125
2,0,0.01,0.0,0.9734375,0.8671875,0.0031022443948313595,0.07067942835390567,0.02394622005522251,0.7240195870399475,0.025245152413845062,1.0,1.0,1.0,1.0,0.8671875
2,1,0.01,0.0,0.9746874999999999,0.8734375,0.002500320210820064,0.06367041230201721,0.034348014742136,0.807981014251709,0.02496487647294998,1.0,1.0,1.0,1.0,0.8734375
2,2,0.01,0.0,0.9753125,0.8765625,0.0027230668452102686,0.07302864991128445,0.029787637293338776,0.779917299747467,0.024144623428583145,1.0,1.0,1.0,1.0,0.8765625
3,0,0.041617914502878176,0.0,0.9737500000000001,0.86875,0.0029439370916225015,0.027245880998671056,0.024191096425056458,0.723437488079071,0.019628506153821945,1.0,1.0,1.0,1.0,0.86875
3,1,0.041617914502878176,0.0,0.974375,0.8734375,0.0023071952210739254,0.02364250235259533,0.03465964272618294,0.8079656958580017,0.020343277603387833,1.0,1.0,1.0,0.9984375,0.8734375
3,2,0.041617914502878176,0.0,0.9790625000000001,0.8953125,0.0024016879836563023,0.02643800124526024,0.03015161119401455,0.7791666388511658,0.019849179312586784,1.0,1.0,1.0,1.0,0.8953125
4,0,0.17320508075688776,0.0,0.9740624999999999,0.871875,0.0031566201965324584,0.009932368202134967,0.024518903344869614,0.7199601531028748,0.015425619669258595,1.0,1.0,1.0,0.9984375,0.871875
4,1,0.17320508075688776,0.0,0.98125,0.90625,0.0024275747500360012,0.009431578107178212,0.03496774286031723,0.805131733417511,0.016491279006004333,1.0,1.0,1.0,1.0,0.90625
4,2,0.17320508075688776,0.0,0.975625,0.878125,0.002593088757712394,0.00919085850007832,0.030527327209711075,0.7778952121734619,0.015857739374041557,1.0,1.0,1.0,1.0,0.878125
5,0,0.7208434242404265,0.0,0.9634375000000001,0.8171875,0.0039305628463625905,0.003736196840181947,0.024673236533999443,0.716620683670044,0.012124557979404926,1.0,1.0,1.0,1.0,0.8171875
5,1,0.7208434242404265,0.0,0.9684375,0.84375,0.003032046088483185,0.0037031484488397838,0.03488155081868172,0.8032782077789307,0.01344187743961811,1.0,1.0,1.0,0.9984375,0.84375
5,2,0.7208434242404265,0.0,0.9646874999999999,0.8296875,0.0037150353949982674,0.003828889806754887,0.03069324977695942,0.7737898230552673,0.012705443426966667,1.0,1.0,1.0,0.99375,0.8296875
6,0,3.0,0.0,0.64125,0.5046875,0.02157169941812754,0.0011733753280714155,0.023128770291805267,0.7170649766921997,0.01283249817788601,0.715625,0.5734375,0.7078125,0.7046875,0.5046875
6,1,3.0,0.0,0.9365625,0.6828125,0.00577505295863375,0.0015952534647658467,0.034718360751867294,0.8015931248664856,0.011189932003617287,1.0,1.0,1.0,1.0,0.6828125
6,2,3.0,0.0,0.8318750000000001,0.5015625,0.010951476050540804,0.0016902664490044117,0.029793526977300644,0.7737898230552673,0.010975283570587635,0.9515625,0.853125,0.9359375,0.9171875,0.5015625
