run_idx,lambda_rate,lambda_connectivity,task_loss,metabolic_cost,wiring_cost,mean_acc,train_time_s,is_pareto
1,0.005,0.005,0.007795858406461775,0.10932683646678924,0.02306637167930603,0.984375,498.21914135012776,False
2,0.005,0.01,0.005810287455096841,0.10974137187004089,0.020995229482650757,0.98125,500.898742003832,False
3,0.005,0.015,0.0073095120955258604,0.10533963292837142,0.019385289400815964,0.9875,500.9898902932182,False
4,0.005,0.02,0.005718978471122682,0.0999011218547821,0.017717966809868813,0.9875,502.94218775071204,False
5,0.005,0.025,0.007568267663009465,0.09867078810930252,0.016301937401294708,0.978125,499.70147250266746,False
6,0.01,0.005,0.0057755977846682075,0.07057043388485909,0.02135557122528553,0.98125,495.08454544795677,False
7,0.01,0.01,0.005845331400632858,0.07173280715942383,0.019117502495646477,0.984375,494.7281335978769,False
8,0.01,0.015,0.005235102097503841,0.06797046437859536,0.01748128980398178,0.99375,495.85296738613397,False
9,0.01,0.02,0.005414409225340933,0.06702259182929993,0.016091521829366684,0.9875,497.0898139937781,False
10,0.01,0.025,0.006711786286905408,0.06538596972823144,0.015082359313964844,0.98125,496.8014754271135,False
11,0.015,0.005,0.005661202757619321,0.053569637984037397,0.020061949267983437,0.978125,498.0545228635892,False
12,0.015,0.01,0.005246784188784659,0.0551460899412632,0.017582252621650696,0.975,494.84695559274405,False
13,0.015,0.015,0.005560637963935733,0.05112811997532844,0.016484981402754784,0.984375,494.8064713822678,False
14,0.015,0.02,0.005394594511017203,0.05208967328071594,0.015016929246485233,0.990625,492.86779935937375,False
15,0.015,0.025,0.0051297252532094715,0.05024263113737106,0.013805638067424297,0.98125,496.5002409578301,True
16,0.02,0.005,0.006123161315917969,0.044619201123714446,0.01911575347185135,0.9875,496.7641323241405,False
17,0.02,0.01,0.006620814558118582,0.043197975307703015,0.01702868565917015,0.99375,494.4760893168859,False
18,0.02,0.015,0.005731208948418498,0.04318106546998024,0.015821026638150215,0.984375,500.5243789362721,False
19,0.02,0.02,0.005269727855920792,0.0398796696215868,0.014349246397614479,0.990625,494.4769958057441,True
20,0.02,0.025,0.007724435580894351,0.041725998371839525,0.013726187869906425,0.984375,497.58789907116443,False
21,0.025,0.005,0.006463521183468402,0.03684924989938736,0.0184145737439394,0.978125,495.3666683170013,False
22,0.025,0.01,0.004925188911147416,0.03721646703779698,0.016722042113542557,0.99375,495.6466447911225,False
23,0.025,0.015,0.004644483886659145,0.036804174259305,0.015077948570251465,0.99375,492.9251811588183,True
24,0.025,0.02,0.005666883219964803,0.036303815245628354,0.01388322189450264,0.984375,493.2735805721022,False
25,0.025,0.025,0.005526792351156473,0.035901691764593124,0.013078580610454082,0.984375,491.9065785170533,True
